arm	source_label	target_id	budget	run_time	rep	success	terminal_count	trigger_time_s	trigger_time_kind	trigger_execs	execs_done	execs_per_sec	reached	accepted_non_trigger	saved_non_trigger	spec_lifted	heuristic_lifted	manual_lifted	strict_pretrigger_guidance	binding_signal_status	source_path
formtrig	b4_7200s_3rep	LIBARCHIVE_2936	7207	7207		true	10	1.358	afl_crash_filename_exact	32	161406	22.40	39964	5	5	4127	0	0	true	pass	artifacts/formtrig_native_readiness/comparisons/libarchive_2936_matched_7200s_3rep_20260617/formtrig_gate_summary.csv
formtrig	b4_7200s_3rep	LIBARCHIVE_2936	7200	7200		true	23	2.32	afl_crash_filename_exact	32	113983	15.83	30850	5	5	4108	0	0	true	pass	artifacts/formtrig_native_readiness/comparisons/libarchive_2936_matched_7200s_3rep_20260617/formtrig_gate_summary.csv
formtrig	b4_7200s_3rep	LIBARCHIVE_2936	7203	7203		true	46	1.494	afl_crash_filename_exact	32	138053	19.16	32418	6	6	4118	0	0	true	pass	artifacts/formtrig_native_readiness/comparisons/libarchive_2936_matched_7200s_3rep_20260617/formtrig_gate_summary.csv
baseline	matched	LIBARCHIVE_2936	7200	7203	1	true	0	51.275	exact		243788	33.84	0						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/libarchive_2936_matched_7200s_3rep_20260617T070307Z/runs/aflplusplus_cmplog_rep1/run_record.json
baseline	matched	LIBARCHIVE_2936	7200	7204	2	true	0	537.231	exact		604737	83.93	0						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/libarchive_2936_matched_7200s_3rep_20260617T070307Z/runs/aflplusplus_cmplog_rep2/run_record.json
baseline	matched	LIBARCHIVE_2936	7200	7200	3	true	0	52.977	exact		554330	76.99	0						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/libarchive_2936_matched_7200s_3rep_20260617T070307Z/runs/aflplusplus_cmplog_rep3/run_record.json
baseline	matched	LIBARCHIVE_2936	7200	7204	1	true	0	42.154	exact		153742	21.34	0						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/libarchive_2936_matched_7200s_3rep_20260617T070307Z/runs/aflplusplus_vanilla_rep1/run_record.json
baseline	matched	LIBARCHIVE_2936	7200	7202	2	true	0	369.432	exact		555758	77.16	0						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/libarchive_2936_matched_7200s_3rep_20260617T070307Z/runs/aflplusplus_vanilla_rep2/run_record.json
baseline	matched	LIBARCHIVE_2936	7200	7202	3	true	0	56.056	exact		507515	70.47	0						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/libarchive_2936_matched_7200s_3rep_20260617T070307Z/runs/aflplusplus_vanilla_rep3/run_record.json
baseline	matched	LIBARCHIVE_2936	7200	7204	1	true	0	9.456	exact		393037	54.55	0						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/libarchive_2936_matched_7200s_3rep_20260617T070307Z/runs/redqueen_operand_rep1/run_record.json
baseline	matched	LIBARCHIVE_2936	7200	7204	2	true	0	39.068	exact		505599	70.17	0						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/libarchive_2936_matched_7200s_3rep_20260617T070307Z/runs/redqueen_operand_rep2/run_record.json
baseline	matched	LIBARCHIVE_2936	7200	7204	3	true	0	32.517	exact		594815	82.57	0						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/libarchive_2936_matched_7200s_3rep_20260617T070307Z/runs/redqueen_operand_rep3/run_record.json
