arm	source_label	target_id	budget	run_time	rep	success	terminal_count	trigger_time_s	trigger_time_kind	trigger_execs	execs_done	execs_per_sec	reached	accepted_non_trigger	saved_non_trigger	spec_lifted	heuristic_lifted	manual_lifted	strict_pretrigger_guidance	binding_signal_status	source_path
formtrig	typed_hook_7200s_3rep	PDF003	7200	7200		true	7693	0.31	formtrig_progress_queue_filename_exact	79	33540	4.66	13492	0	0	3758	0	0	false	pass	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/formtrig_gate/gate_summary.csv
formtrig	typed_hook_7200s_3rep	PDF003	7200	7200		true	7246	0.334	formtrig_progress_queue_filename_exact	79	33841	4.70	18868	0	0	4563	0	0	false	pass	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/formtrig_gate/gate_summary.csv
formtrig	typed_hook_7200s_3rep	PDF003	7201	7201		true	6607	0.315	formtrig_progress_queue_filename_exact	79	29732	4.13	14680	0	0	4621	0	0	false	pass	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/formtrig_gate/gate_summary.csv
baseline	aflpp_family_7200s_3rep	PDF003	7200	7175	1	false	0				1373920	191.46	548533						false		artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/merged_baselines/runs/aflplusplus_cmplog_7200s_rep1/run_record.json
baseline	aflpp_family_7200s_3rep	PDF003	7200	7173	2	false	0				1537774	214.36	713533						false		artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/merged_baselines/runs/aflplusplus_cmplog_7200s_rep2/run_record.json
baseline	aflpp_family_7200s_3rep	PDF003	7200	7174	3	false	0				820837	114.41	311862						false		artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/merged_baselines/runs/aflplusplus_cmplog_7200s_rep3/run_record.json
baseline	aflpp_family_7200s_3rep	PDF003	7200	7175	1	false	0				487282	67.91	253025						false		artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/merged_baselines/runs/aflplusplus_vanilla_7200s_rep1/run_record.json
baseline	aflpp_family_7200s_3rep	PDF003	7200	7174	2	false	0				98356	13.71	24240						false		artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/merged_baselines/runs/aflplusplus_vanilla_7200s_rep2/run_record.json
baseline	aflpp_family_7200s_3rep	PDF003	7200	7175	3	true	1	5670	magma_monitor_upper_bound		775683	108.11	295620						false		artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/merged_baselines/runs/aflplusplus_vanilla_7200s_rep3/run_record.json
baseline	aflpp_family_7200s_3rep	PDF003	7200	7176	1	false	0				1650085	229.94	654054						false		artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/merged_baselines/runs/redqueen_operand_7200s_rep1/run_record.json
baseline	aflpp_family_7200s_3rep	PDF003	7200	7175	2	true	18	4530	magma_monitor_upper_bound		1273107	177.43	349583						false		artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/merged_baselines/runs/redqueen_operand_7200s_rep2/run_record.json
baseline	aflpp_family_7200s_3rep	PDF003	7200	7174	3	false	0				1004127	139.96	344671						false		artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/merged_baselines/runs/redqueen_operand_7200s_rep3/run_record.json
