arm	source_label	target_id	budget	run_time	rep	success	terminal_count	trigger_time_s	trigger_time_kind	trigger_execs	execs_done	execs_per_sec	reached	accepted_non_trigger	saved_non_trigger	spec_lifted	heuristic_lifted	manual_lifted	strict_pretrigger_guidance	binding_signal_status	source_path
formtrig	typed_hook_600s_3rep	PDF003	602	602		true	502	0.292	formtrig_progress_queue_filename_exact	79	926	1.54	812	0	0	180	0	0	false	pass	artifacts/formtrig_native_readiness/raw/pdf003_validated_short_600s_3rep_formtrig/gate/gate_summary.csv
formtrig	typed_hook_600s_3rep	PDF003	600	600		true	502	0.306	formtrig_progress_queue_filename_exact	79	3480	5.80	1419	0	0	290	0	0	false	pass	artifacts/formtrig_native_readiness/raw/pdf003_validated_short_600s_3rep_formtrig/gate/gate_summary.csv
formtrig	typed_hook_600s_3rep	PDF003	601	601		true	502	0.29	formtrig_progress_queue_filename_exact	79	3257	5.42	1995	0	0	474	0	0	false	pass	artifacts/formtrig_native_readiness/raw/pdf003_validated_short_600s_3rep_formtrig/gate/gate_summary.csv
baseline	aflpp_family_600s_3rep	PDF003	600	576	1	false	0				112577	195.15	36597						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_validated_short_600s_3rep_baselines/runs/aflplusplus_cmplog_600s_rep1/run_record.json
baseline	aflpp_family_600s_3rep	PDF003	600	575	2	false	0				109315	189.88	26518						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_validated_short_600s_3rep_baselines/runs/aflplusplus_cmplog_600s_rep2/run_record.json
baseline	aflpp_family_600s_3rep	PDF003	600	577	3	false	0				82576	143.07	56244						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_validated_short_600s_3rep_baselines/runs/aflplusplus_cmplog_600s_rep3/run_record.json
baseline	aflpp_family_600s_3rep	PDF003	600	577	1	false	0				126105	218.34	119802						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_validated_short_600s_3rep_baselines/runs/aflplusplus_vanilla_600s_rep1/run_record.json
baseline	aflpp_family_600s_3rep	PDF003	600	577	2	false	0				101285	175.40	66966						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_validated_short_600s_3rep_baselines/runs/aflplusplus_vanilla_600s_rep2/run_record.json
baseline	aflpp_family_600s_3rep	PDF003	600	577	3	false	0				117215	203.10	104348						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_validated_short_600s_3rep_baselines/runs/aflplusplus_vanilla_600s_rep3/run_record.json
baseline	aflpp_family_600s_3rep	PDF003	600	576	1	false	0				102701	177.99	88920						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_validated_short_600s_3rep_baselines/runs/redqueen_operand_600s_rep1/run_record.json
baseline	aflpp_family_600s_3rep	PDF003	600	577	2	false	0				133467	231.15	46024						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_validated_short_600s_3rep_baselines/runs/redqueen_operand_600s_rep2/run_record.json
baseline	aflpp_family_600s_3rep	PDF003	600	577	3	false	0				44899	77.81	19939						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_validated_short_600s_3rep_baselines/runs/redqueen_operand_600s_rep3/run_record.json
