arm	source_label	target_id	budget	run_time	rep	success	terminal_count	trigger_time_s	trigger_time_kind	trigger_execs	execs_done	execs_per_sec	reached	accepted_non_trigger	saved_non_trigger	spec_lifted	heuristic_lifted	manual_lifted	strict_pretrigger_guidance	binding_signal_status	source_path
formtrig	b5_120s_3rep	TIF012	120	120		true	10870	0.036	formtrig_progress_queue_filename_exact	146	34175	284.78	19422	6	6	6245	0	0	false	pass	artifacts/formtrig_native_readiness/gates/tif012_b5_current_120s_3rep_20260616/gate_summary.csv
formtrig	b5_120s_3rep	TIF012	120	120		true	7971	0.035	formtrig_progress_queue_filename_exact	146	49100	409.01	19919	8	8	5615	0	0	true	pass	artifacts/formtrig_native_readiness/gates/tif012_b5_current_120s_3rep_20260616/gate_summary.csv
formtrig	b5_120s_3rep	TIF012	120	120		true	4604	0.035	formtrig_progress_queue_filename_exact	146	59682	497.33	20142	3	3	4616	0	0	true	pass	artifacts/formtrig_native_readiness/gates/tif012_b5_current_120s_3rep_20260616/gate_summary.csv
baseline	aflpp_family_120s_3rep	TIF012	120	117	1	false	0				217577	1846.25	77902						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_baselines_b5_matched_120s_3rep_20260616/runs/aflplusplus_cmplog_120s_rep1/run_record.json
baseline	aflpp_family_120s_3rep	TIF012	120	117	2	false	0				223397	1895.49	67803						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_baselines_b5_matched_120s_3rep_20260616/runs/aflplusplus_cmplog_120s_rep2/run_record.json
baseline	aflpp_family_120s_3rep	TIF012	120	117	3	false	0				219532	1862.65	88617						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_baselines_b5_matched_120s_3rep_20260616/runs/aflplusplus_cmplog_120s_rep3/run_record.json
baseline	aflpp_family_120s_3rep	TIF012	120	117	1	false	0				227946	1934.14	46044						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_baselines_b5_matched_120s_3rep_20260616/runs/aflplusplus_vanilla_120s_rep1/run_record.json
baseline	aflpp_family_120s_3rep	TIF012	120	117	2	false	0				228312	1937.08	42832						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_baselines_b5_matched_120s_3rep_20260616/runs/aflplusplus_vanilla_120s_rep2/run_record.json
baseline	aflpp_family_120s_3rep	TIF012	120	117	3	false	0				216804	1839.58	36198						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_baselines_b5_matched_120s_3rep_20260616/runs/aflplusplus_vanilla_120s_rep3/run_record.json
baseline	aflpp_family_120s_3rep	TIF012	120	117	1	false	0				229411	1946.59	46445						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_baselines_b5_matched_120s_3rep_20260616/runs/redqueen_operand_120s_rep1/run_record.json
baseline	aflpp_family_120s_3rep	TIF012	120	117	2	false	0				228171	1935.88	76862						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_baselines_b5_matched_120s_3rep_20260616/runs/redqueen_operand_120s_rep2/run_record.json
baseline	aflpp_family_120s_3rep	TIF012	120	117	3	false	0				222673	1889.27	73380						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_baselines_b5_matched_120s_3rep_20260616/runs/redqueen_operand_120s_rep3/run_record.json
