arm	source_label	target_id	budget	run_time	rep	success	terminal_count	trigger_time_s	trigger_time_kind	trigger_execs	execs_done	execs_per_sec	reached	accepted_non_trigger	saved_non_trigger	spec_lifted	heuristic_lifted	manual_lifted	strict_pretrigger_guidance	binding_signal_status	source_path
formtrig	formtrig	TIF012	7200	7200		true	1379546	0.035	formtrig_progress_queue_filename_exact	146	2749423	381.86	1647188	8	8	165507	0	0	false	pass	artifacts/formtrig_native_readiness/comparisons/tif012_b5_matched_7200s_3rep_20260617/formtrig_gate_summary.csv
formtrig	formtrig	TIF012	7200	7200		true	1234445	0.036	formtrig_progress_queue_filename_exact	146	3993820	554.69	1893870	15	15	149750	0	0	true	pass	artifacts/formtrig_native_readiness/comparisons/tif012_b5_matched_7200s_3rep_20260617/formtrig_gate_summary.csv
formtrig	formtrig	TIF012	7200	7200		true	2045147	0.034	formtrig_progress_queue_filename_exact	146	3947580	548.27	2518098	12	12	239540	0	0	false	pass	artifacts/formtrig_native_readiness/comparisons/tif012_b5_matched_7200s_3rep_20260617/formtrig_gate_summary.csv
baseline	matched	TIF012	7200	7197	1	false	0				13604237	1890.04	1395259						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/aflplusplus_cmplog_7200s_rep1/run_record.json
baseline	matched	TIF012	7200	7197	2	false	0				14093676	1958.07	1379967						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/aflplusplus_cmplog_7200s_rep2/run_record.json
baseline	matched	TIF012	7200	7197	3	true	7615	4950	magma_monitor_upper_bound		13720913	1906.28	1430122						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/aflplusplus_cmplog_7200s_rep3/run_record.json
baseline	matched	TIF012	7200	7197	1	true	28536	930	magma_monitor_upper_bound		13737357	1908.54	631531						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/aflplusplus_vanilla_7200s_rep1/run_record.json
baseline	matched	TIF012	7200	7197	2	true	9978	1410	magma_monitor_upper_bound		13626297	1893.11	986404						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/aflplusplus_vanilla_7200s_rep2/run_record.json
baseline	matched	TIF012	7200	7197	3	true	84706	1560	magma_monitor_upper_bound		14179337	1969.98	860992						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/aflplusplus_vanilla_7200s_rep3/run_record.json
baseline	matched	TIF012	7200	7197	1	true	4170	6540	magma_monitor_upper_bound		13584930	1887.36	1665603						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/redqueen_operand_7200s_rep1/run_record.json
baseline	matched	TIF012	7200	7197	2	false	0				14056195	1952.86	1158381						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/redqueen_operand_7200s_rep2/run_record.json
baseline	matched	TIF012	7200	7197	3	true	3841	210	magma_monitor_upper_bound		13901631	1931.35	1812906						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/redqueen_operand_7200s_rep3/run_record.json
