binding_id,atom_id,category,role,event_kind,site_id,event_id,mapping_status,collapsed_with,binding_tier,lift_allowed,reason,component_kind,priority,direction,value_mode,function,file,line,column,opcode,observe_window
1,1,compound-sequence-lifecycle,desired_producer,11,2074894587,2116ae226dc92bfd,exact,0x00000000,B4,true,ok,6,10,higher,hit,Media_GetSample,isomedia/media.c,633,47,add,any
2,1,compound-sequence-lifecycle,lifecycle_event,8,2693650777,8820a07a923bb9b3,exact,0x00000000,B4,true,ok,7,20,higher,hit,cat_isomedia_file,fileimport.c,3139,8,br,any
3,1,compound-sequence-lifecycle,lifecycle_event,8,3030846436,f64759dbe4dca591,exact,0x00000000,B4,true,ok,7,25,higher,hit,gf_isom_sample_del,isomedia/isom_read.c,112,6,br,any
4,1,compound-sequence-lifecycle,lifecycle_event,7,3013921722,4894deee44af4fee,exact,0x00000000,B4,true,ok,8,26,higher,a,gf_isom_sample_del,isomedia/isom_read.c,112,6,icmp,any
5,1,compound-sequence-lifecycle,lifecycle_event,8,1766076671,859effc1138fdd44,exact,0x00000000,B4,true,ok,7,30,higher,hit,gf_isom_nalu_sample_rewrite,isomedia/avc_ext.c,672,59,br,any
6,1,compound-sequence-lifecycle,guard,8,3035684152,2dfd1a4414e18269,exact,0x00000000,B4,true,ok,5,32,higher,outcome,gf_isom_nalu_sample_rewrite,isomedia/avc_ext.c,809,9,br,any
7,1,compound-sequence-lifecycle,guard,8,4008811561,3d98cbd3a7035bf7,exact,0x00000000,B4,true,ok,5,34,higher,outcome,gf_isom_nalu_sample_rewrite,isomedia/avc_ext.c,844,9,br,any
8,1,compound-sequence-lifecycle,lifecycle_event,8,2366748155,d39beaa41e5e027f,exact,0x00000000,B4,true,ok,7,35,higher,hit,process_extractor,isomedia/avc_ext.c,119,3,br,any
9,1,compound-sequence-lifecycle,guard,8,2400597583,3ac601274802ea0f,exact,0x00000000,B4,true,ok,5,36,higher,outcome,process_extractor,isomedia/avc_ext.c,123,8,br,any
10,1,compound-sequence-lifecycle,guard,8,3793165467,45e60565771c55de,exact,0x00000000,B4,true,ok,5,37,higher,outcome,process_extractor,isomedia/avc_ext.c,151,8,br,any
11,1,compound-sequence-lifecycle,opposite_producer,8,1427918546,102ed579c77be13a,exact,0x00000000,B4,true,ok,6,38,higher,outcome,process_extractor,isomedia/avc_ext.c,154,8,br,any
12,1,compound-sequence-lifecycle,guard,8,1629544164,7381029bd2a2126f,exact,0x00000000,B4,true,ok,5,39,higher,outcome,process_extractor,isomedia/avc_ext.c,167,8,br,any
13,1,compound-sequence-lifecycle,guard,8,1291726118,5ee8d1f05214f15e,exact,0x00000000,B4,true,ok,5,40,higher,outcome,process_extractor,isomedia/avc_ext.c,171,9,br,any
14,1,compound-sequence-lifecycle,guard,8,1803388017,27d6f3efd8afeb54,exact,0x00000000,B4,true,ok,5,41,higher,outcome,process_extractor,isomedia/avc_ext.c,175,9,br,any
15,1,compound-sequence-lifecycle,guard,8,4084746843,9b7206859ac6cb19,exact,0x00000000,B4,true,ok,5,42,higher,outcome,process_extractor,isomedia/avc_ext.c,179,8,br,any
16,1,compound-sequence-lifecycle,lifecycle_event,8,4219114890,69370cf78d81147e,exact,0x00000000,B4,true,ok,7,43,higher,outcome,process_extractor,isomedia/avc_ext.c,180,8,br,any
17,1,compound-sequence-lifecycle,guard,8,4118449176,a1f54cdd04358258,exact,0x00000000,B4,true,ok,5,39,higher,outcome,process_extractor,isomedia/avc_ext.c,181,8,br,any
18,1,compound-sequence-lifecycle,guard,8,4084452653,6d2a012bc47ffdec,exact,0x00000000,B4,true,ok,5,40,higher,outcome,process_extractor,isomedia/avc_ext.c,182,8,br,any
19,1,compound-sequence-lifecycle,guard,8,1701736565,16918ad2b18e57d7,exact,0x00000000,B4,true,ok,5,46,higher,outcome,process_extractor,isomedia/avc_ext.c,186,8,br,any
20,1,compound-sequence-lifecycle,lifecycle_event,8,1701883660,e7e078a769699420,exact,0x00000000,B4,true,ok,7,47,higher,outcome,process_extractor,isomedia/avc_ext.c,187,8,br,any
21,1,compound-sequence-lifecycle,guard,8,2977846854,3abd8c5f595f6b86,exact,0x00000000,B4,true,ok,5,41,higher,outcome,process_extractor,isomedia/avc_ext.c,207,8,br,any
22,1,compound-sequence-lifecycle,lifecycle_event,8,762906956,0149ef6ac0e98782,exact,0x00000000,B4,true,ok,7,49,higher,hit,process_extractor,isomedia/avc_ext.c,209,5,br,any
23,1,compound-sequence-lifecycle,opposite_producer,8,729204623,0d91cbfbc138650f,exact,0x00000000,B4,true,ok,6,50,higher,outcome,process_extractor,isomedia/avc_ext.c,213,11,br,any
24,1,compound-sequence-lifecycle,lifecycle_event,8,3094451544,c8b72abcefac75c8,exact,0x00000000,B4,true,ok,7,51,higher,outcome,process_extractor,isomedia/avc_ext.c,218,11,br,any
25,1,compound-sequence-lifecycle,opposite_producer,8,3467734663,bce89d01031a87a9,exact,0x00000000,B4,true,ok,6,52,higher,outcome,process_extractor,isomedia/avc_ext.c,237,10,br,any
26,1,compound-sequence-lifecycle,opposite_producer,8,3416563163,5fc3e6548b31e508,exact,0x00000000,B4,true,ok,6,42,higher,hit,process_extractor,isomedia/avc_ext.c,248,5,br,any
27,1,compound-sequence-lifecycle,lifecycle_event,8,3534153591,464dd216cc6fa44e,exact,0x00000000,B4,true,ok,7,54,higher,outcome,process_extractor,isomedia/avc_ext.c,252,8,br,any
28,1,compound-sequence-lifecycle,opposite_producer,8,224520426,636aa1fbfc39a2ff,exact,0x00000000,B4,true,ok,6,36,higher,absent,gf_isom_nalu_sample_rewrite,isomedia/avc_ext.c,912,6,br,any
29,1,compound-sequence-lifecycle,use,8,14730514,04f6f27a349fa6bb,exact,0x00000000,B4,true,ok,6,40,higher,not_outcome,gf_bs_del,utils/bitstream.c,372,6,br,any
30,1,compound-sequence-lifecycle,use,7,65063371,c773a1329b861a74,exact,0x00000000,B4,true,ok,8,42,higher,a,gf_bs_del,utils/bitstream.c,372,48,icmp,any
31,1,compound-sequence-lifecycle,root_observe,7,115396228,12f4fd6cc1cd7f3a,exact,0x00000000,B4,true,ok,3,50,higher,not_outcome,gf_bs_del,utils/bitstream.c,372,18,icmp,any
32,1,compound-sequence-lifecycle,same_object,7,1549213408,05d52c433e00723b,exact,0x00000000,B4,true,ok,8,60,higher,a,gf_bs_reassign_buffer,utils/bitstream.c,122,6,icmp,any
33,1,compound-sequence-lifecycle,input_influence,8,2708309825,8dd07ad2b9e482e1,exact,0x00000000,B4,true,ok,4,70,higher,hit,cat_isomedia_file,fileimport.c,3136,3,br,any
34,1,compound-sequence-lifecycle,input_influence,11,2074894587,d49385545af31433,exact,0x00000000,B4,true,ok,4,80,higher,hit,Media_GetSample,isomedia/media.c,633,47,add,any
