label	queue_id	return_code	signal	stdout_bytes	stderr_bytes
variant_000005	5	0	0	0	1393
variant_000007	7	0	0	0	1531
variant_000008	8	0	0	0	1393
variant_000012	12	0	0	0	2231
variant_000015	15	139	11	0	43
variant_000026	26	0	0	0	3011
variant_000033	33	0	0	0	2306
variant_000035	35	0	0	0	1345
variant_000037	37	0	0	0	1344
variant_000038	38	0	0	0	1178
variant_000046	46	0	0	0	1602
variant_000051	51	139	11	0	43
variant_000061	61	139	11	0	43
variant_000065	65	0	0	0	1369
variant_000067	67	0	0	0	1275
variant_000068	68	0	0	0	1178
variant_000072	72	0	0	0	1275
variant_000079	79	0	0	0	1426
variant_000091	91	139	11	0	43
variant_000100	100	0	0	0	1627
variant_000104	104	0	0	0	1675
variant_000111	111	139	11	0	43
variant_000124	124	139	11	0	43
variant_000133	133	0	0	0	1234
variant_000152	152	0	0	0	1370
variant_000158	158	0	0	0	1178
variant_000164	164	0	0	0	1321
variant_000165	165	139	11	0	43
variant_000173	173	0	0	0	1273
variant_000174	174	139	11	0	43
variant_000180	180	0	0	0	1427
positive_control		134	6	0	20868
