label	queue_id	return_code	signal	stdout_bytes	stderr_bytes
variant_000004	4	0	0	0	1392
variant_000006	6	139	11	0	43
variant_000007	7	0	0	0	1392
variant_000011	11	0	0	0	2230
variant_000014	14	0	0	0	1954
variant_000025	25	0	0	0	3010
variant_000032	32	0	0	0	2305
variant_000034	34	0	0	0	1344
variant_000036	36	0	0	0	1343
variant_000037	37	0	0	0	1177
variant_000045	45	0	0	0	1601
variant_000060	60	0	0	0	1274
variant_000062	62	139	11	0	43
variant_000069	69	139	11	0	43
variant_000071	71	0	0	0	1272
variant_000076	76	0	0	0	1274
variant_000086	86	0	0	0	1271
variant_000092	92	0	0	0	1274
variant_000093	93	0	0	0	1626
variant_000095	95	139	11	0	43
variant_000096	96	139	11	0	43
variant_000101	101	139	11	0	43
variant_000102	102	0	0	0	1626
variant_000106	106	0	0	0	1177
variant_000107	107	0	0	0	1321
variant_000115	115	0	0	0	1367
variant_000128	128	0	0	0	1368
variant_000130	130	139	11	0	43
variant_000134	134	0	0	0	1272
variant_000147	147	0	0	0	1368
variant_000148	148	0	0	0	1426
variant_000152	152	139	11	0	43
positive_control		134	6	0	20867
