arm	source_label	target_id	budget	run_time	rep	success	terminal_count	trigger_time_s	trigger_time_kind	trigger_execs	execs_done	execs_per_sec	reached	accepted_non_trigger	saved_non_trigger	spec_lifted	heuristic_lifted	manual_lifted	strict_pretrigger_guidance	binding_signal_status	source_path
formtrig	formtrig	GPAC_3403	60	61		true	2	2.39	afl_crash_filename_exact	8	147	2.38	146	5	5	70	0	0	true	pass	artifacts/formtrig_native_readiness/raw/gpac3403_b13_scal_ref_payload_matched_screen_60s3rep_20260620T032730Z/formtrig_gate/gate_summary.csv
formtrig	formtrig	GPAC_3403	60	61		true	2	2.422	afl_crash_filename_exact	8	147	2.38	146	5	5	70	0	0	true	pass	artifacts/formtrig_native_readiness/raw/gpac3403_b13_scal_ref_payload_matched_screen_60s3rep_20260620T032730Z/formtrig_gate/gate_summary.csv
formtrig	formtrig	GPAC_3403	60	68		true	2	2.605	afl_crash_filename_exact	8	147	2.15	146	5	5	70	0	0	true	pass	artifacts/formtrig_native_readiness/raw/gpac3403_b13_scal_ref_payload_matched_screen_60s3rep_20260620T032730Z/formtrig_gate/gate_summary.csv
formtrig	formtrig_nohook	GPAC_3403	60	60		true	4	29.633	afl_crash_filename_exact	720	1899	31.49	1896	17	17	1233	0	0	true	pass	artifacts/formtrig_native_readiness/raw/gpac3403_b13_scal_ref_payload_matched_screen_60s3rep_20260620T032730Z/formtrig_nohook_gate/gate_summary.csv
formtrig	formtrig_nohook	GPAC_3403	60	60		true	1	49.938	afl_crash_filename_exact	1801	2118	35.28	2118	14	14	1551	0	0	true	pass	artifacts/formtrig_native_readiness/raw/gpac3403_b13_scal_ref_payload_matched_screen_60s3rep_20260620T032730Z/formtrig_nohook_gate/gate_summary.csv
formtrig	formtrig_nohook	GPAC_3403	60	60		false	0				1622	27.00	1623	14	14	1020	0	0	true	pass	artifacts/formtrig_native_readiness/raw/gpac3403_b13_scal_ref_payload_matched_screen_60s3rep_20260620T032730Z/formtrig_nohook_gate/gate_summary.csv
baseline	matched	GPAC_3403	60	60	2	false	0				1403	23.36	0						false		artifacts/formtrig_native_readiness/raw/gpac3403_b13_cmplog_redqueen_retry_60s3rep_20260620T034936Z/runs/aflplusplus_cmplog_rep2/run_record.json
baseline	matched	GPAC_3403	60	60	3	false	0				1409	23.45	0						false		artifacts/formtrig_native_readiness/raw/gpac3403_b13_cmplog_redqueen_retry_60s3rep_20260620T034936Z/runs/aflplusplus_cmplog_rep3/run_record.json
baseline	matched	GPAC_3403	60	60	4	false	0				1411	23.48	0						false		artifacts/formtrig_native_readiness/raw/gpac3403_b13_cmplog_redqueen_retry_60s3rep_20260620T034936Z/runs/aflplusplus_cmplog_rep4/run_record.json
baseline	matched	GPAC_3403	60	60	1	false	0				1174	19.55	0						false		artifacts/formtrig_native_readiness/raw/gpac3403_b13_scal_ref_payload_matched_screen_60s3rep_20260620T032730Z/runs/aflplusplus_vanilla_rep1/run_record.json
baseline	matched	GPAC_3403	60	60	2	false	0				971	16.16	0						false		artifacts/formtrig_native_readiness/raw/gpac3403_b13_scal_ref_payload_matched_screen_60s3rep_20260620T032730Z/runs/aflplusplus_vanilla_rep2/run_record.json
baseline	matched	GPAC_3403	60	60	3	false	0				940	15.65	0						false		artifacts/formtrig_native_readiness/raw/gpac3403_b13_scal_ref_payload_matched_screen_60s3rep_20260620T032730Z/runs/aflplusplus_vanilla_rep3/run_record.json
baseline	matched	GPAC_3403	60	60	1	false	0				1421	23.65	0						false		artifacts/formtrig_native_readiness/raw/gpac3403_b13_cmplog_redqueen_retry_60s3rep_20260620T034936Z/runs/redqueen_operand_rep1/run_record.json
baseline	matched	GPAC_3403	60	60	2	false	0				1409	23.45	0						false		artifacts/formtrig_native_readiness/raw/gpac3403_b13_cmplog_redqueen_retry_60s3rep_20260620T034936Z/runs/redqueen_operand_rep2/run_record.json
baseline	matched	GPAC_3403	60	60	3	false	0				1401	23.33	0						false		artifacts/formtrig_native_readiness/raw/gpac3403_b13_cmplog_redqueen_retry_60s3rep_20260620T034936Z/runs/redqueen_operand_rep3/run_record.json
