binding_id,atom_id,category,role,event_kind,site_id,event_id,mapping_status,collapsed_with,binding_tier,lift_allowed,reason,component_kind,priority,direction,value_mode,function,file,line,column,opcode,observe_window
1,1,compound-sequence-lifecycle,desired_producer,11,2074894587,2116ae226dc92bfd,exact,0x00000000,B4,true,ok,6,10,higher,hit,Media_GetSample,isomedia/media.c,633,47,add,any
2,1,compound-sequence-lifecycle,lifecycle_event,8,2693650777,8820a07a923bb9b3,exact,0x00000000,B4,true,ok,7,20,higher,hit,cat_isomedia_file,fileimport.c,3139,8,br,any
3,1,compound-sequence-lifecycle,lifecycle_event,8,3030846436,f64759dbe4dca591,exact,0x00000000,B4,true,ok,7,25,higher,hit,gf_isom_sample_del,isomedia/isom_read.c,112,6,br,any
4,1,compound-sequence-lifecycle,lifecycle_event,7,3013921722,4894deee44af4fee,exact,0x00000000,B4,true,ok,8,26,higher,a,gf_isom_sample_del,isomedia/isom_read.c,112,6,icmp,any
5,1,compound-sequence-lifecycle,lifecycle_event,8,1766076671,859effc1138fdd44,exact,0x00000000,B4,true,ok,7,30,higher,hit,gf_isom_nalu_sample_rewrite,isomedia/avc_ext.c,672,59,br,any
6,1,compound-sequence-lifecycle,guard,8,3035684152,2dfd1a4414e18269,exact,0x00000000,B4,true,ok,5,32,higher,outcome,gf_isom_nalu_sample_rewrite,isomedia/avc_ext.c,809,9,br,any
7,1,compound-sequence-lifecycle,guard,8,4008811561,3d98cbd3a7035bf7,exact,0x00000000,B4,true,ok,5,34,higher,outcome,gf_isom_nalu_sample_rewrite,isomedia/avc_ext.c,844,9,br,any
8,1,compound-sequence-lifecycle,lifecycle_event,8,2366748155,d39beaa41e5e027f,exact,0x00000000,B4,true,ok,7,35,higher,hit,process_extractor,isomedia/avc_ext.c,119,3,br,any
9,1,compound-sequence-lifecycle,guard,8,2400597583,3ac601274802ea0f,exact,0x00000000,B4,true,ok,5,36,higher,outcome,process_extractor,isomedia/avc_ext.c,123,8,br,any
10,1,compound-sequence-lifecycle,guard,8,3793165467,45e60565771c55de,exact,0x00000000,B4,true,ok,5,37,higher,outcome,process_extractor,isomedia/avc_ext.c,151,8,br,any
11,1,compound-sequence-lifecycle,opposite_producer,8,1427918546,102ed579c77be13a,exact,0x00000000,B4,true,ok,6,38,higher,outcome,process_extractor,isomedia/avc_ext.c,154,8,br,any
12,1,compound-sequence-lifecycle,guard,8,4118449176,1b8db7ce09e77f53,exact,0x00000000,B4,true,ok,5,39,higher,outcome,process_extractor,isomedia/avc_ext.c,181,8,br,any
13,1,compound-sequence-lifecycle,guard,8,4084452653,564983d52c3fdecd,exact,0x00000000,B4,true,ok,5,40,higher,outcome,process_extractor,isomedia/avc_ext.c,182,8,br,any
14,1,compound-sequence-lifecycle,guard,8,2977846854,4c921b5de96459fb,exact,0x00000000,B4,true,ok,5,41,higher,outcome,process_extractor,isomedia/avc_ext.c,207,8,br,any
15,1,compound-sequence-lifecycle,opposite_producer,8,3416563163,b123276848a7b4b3,exact,0x00000000,B4,true,ok,6,42,higher,hit,process_extractor,isomedia/avc_ext.c,248,5,br,any
16,1,compound-sequence-lifecycle,opposite_producer,8,224520426,9efb06238c03cfb3,exact,0x00000000,B4,true,ok,6,36,higher,absent,gf_isom_nalu_sample_rewrite,isomedia/avc_ext.c,912,6,br,any
17,1,compound-sequence-lifecycle,use,8,14730514,4e9a5c1bb07a8d8f,exact,0x00000000,B4,true,ok,6,40,higher,not_outcome,gf_bs_del,utils/bitstream.c,372,6,br,any
18,1,compound-sequence-lifecycle,use,7,65063371,4bfa7ad435c93b78,exact,0x00000000,B4,true,ok,8,42,higher,a,gf_bs_del,utils/bitstream.c,372,48,icmp,any
19,1,compound-sequence-lifecycle,root_observe,7,115396228,43fa27ea5eb009be,exact,0x00000000,B4,true,ok,3,50,higher,not_outcome,gf_bs_del,utils/bitstream.c,372,18,icmp,any
20,1,compound-sequence-lifecycle,same_object,7,1549213408,d856cabdbb3f2c97,exact,0x00000000,B4,true,ok,8,60,higher,a,gf_bs_reassign_buffer,utils/bitstream.c,122,6,icmp,any
21,1,compound-sequence-lifecycle,input_influence,8,2708309825,8c1ffa26cf5385ed,exact,0x00000000,B4,true,ok,4,70,higher,hit,cat_isomedia_file,fileimport.c,3136,3,br,any
22,1,compound-sequence-lifecycle,input_influence,11,2074894587,3281bd12316b666f,exact,0x00000000,B4,true,ok,4,80,higher,hit,Media_GetSample,isomedia/media.c,633,47,add,any
