binding_id,atom_id,category,role,event_kind,site_id,event_id,mapping_status,collapsed_with,binding_tier,lift_allowed,reason,component_kind,priority,direction,value_mode,function,file,line,column,opcode,observe_window
1,1,binary-state-null,root_observe,7,2633682639,bcfb5b3c8851d6bb,exact,0x00000000,B2,true,ok,3,10,higher,outcome,setExtraSamples,tif_dir.c,134,9,icmp,any
2,1,binary-state-null,root_observe,7,2717570734,ad5e9547f5c05a3b,exact,0x00000000,B2,true,ok,3,11,higher,outcome,setExtraSamples,tif_dir.c,134,9,icmp,any
3,1,binary-state-null,root_observe,7,2633535544,d8d6e917c41b016a,exact,0x00000000,B2,true,ok,3,12,higher,outcome,setExtraSamples,tif_dir.c,134,9,icmp,any
4,1,binary-state-null,root_observe,7,2617890758,ffa39029d0c44ad9,exact,0x00000000,B2,true,ok,3,13,higher,outcome,setExtraSamples,tif_dir.c,134,9,icmp,any
5,1,binary-state-null,root_observe,7,2651298901,a4a196e1c65de361,exact,0x00000000,B2,true,ok,3,14,higher,outcome,setExtraSamples,tif_dir.c,134,9,icmp,any
6,1,binary-state-null,root_observe,7,772058478,b3c2b26ca26ba32f,exact,0x00000000,B2,true,ok,3,15,higher,outcome,setExtraSamples,tif_dir.c,134,9,icmp,any
7,1,binary-state-null,root_observe,7,788689002,c36a9f9b47e52d18,exact,0x00000000,B2,true,ok,3,16,higher,outcome,setExtraSamples,tif_dir.c,134,9,icmp,any
8,1,binary-state-null,root_observe,7,2305107043,d751ab9e14cc55d0,exact,0x00000000,B2,true,ok,3,17,higher,outcome,_TIFFVSetField,tif_dir.c,313,13,icmp,any
9,1,binary-state-null,root_observe,7,140647097,a414eea0cef1e809,exact,0x00000000,B2,true,ok,3,18,higher,outcome,_TIFFVSetField,tif_dir.c,313,13,icmp,any
10,1,binary-state-null,root_observe,7,258090430,1d70f70b6ebfa413,exact,0x00000000,B2,true,ok,3,19,higher,outcome,_TIFFVSetField,tif_dir.c,313,13,icmp,any
11,1,binary-state-null,root_observe,7,157277621,977897e0aed94267,exact,0x00000000,B2,true,ok,3,20,higher,outcome,_TIFFVSetField,tif_dir.c,313,13,icmp,any
12,1,binary-state-null,root_observe,7,461687524,6c0c60371626a917,exact,0x00000000,B2,true,ok,3,21,higher,outcome,_TIFFVSetField,tif_dir.c,313,13,icmp,any
13,1,binary-state-null,root_observe,7,444909905,3ec59b6e089b8c9d,exact,0x00000000,B2,true,ok,3,22,higher,outcome,_TIFFVSetField,tif_dir.c,313,13,icmp,any
14,1,binary-state-null,root_observe,7,360874715,2495f430a08e451a,exact,0x00000000,B2,true,ok,3,23,higher,outcome,_TIFFVSetField,tif_dir.c,313,13,icmp,any
15,1,binary-state-null,root_observe,7,2967075965,5f6b830952b61dc3,exact,0x00000000,B2,true,ok,3,24,higher,outcome,_TIFFVSetField,tif_dir.c,313,13,icmp,any
16,1,binary-state-null,root_observe,7,2984000679,c6a93e9abdec66cc,exact,0x00000000,B2,true,ok,3,25,higher,outcome,_TIFFVSetField,tif_dir.c,313,13,icmp,any
17,1,binary-state-null,desired_producer,7,2428864631,cd017d5a9c37c1e5,exact,0x00000000,B2,true,ok,6,30,higher,outcome,_TIFFVSetField,tif_dir.c,483,54,icmp,any
18,1,binary-state-null,desired_producer,7,2227386108,850bbd9542bfb44f,exact,0x00000000,B2,true,ok,6,31,higher,outcome,_TIFFVSetField,tif_dir.c,484,17,icmp,any
19,1,binary-state-null,desired_producer,7,1889720481,1b4d8f58595bbccd,exact,0x00000000,B2,true,ok,6,32,higher,outcome,_TIFFVSetField,tif_dir.c,338,22,icmp,any
20,1,binary-state-null,desired_producer,7,4085911284,3e39ea81c4f37da9,exact,0x00000000,B2,true,ok,6,33,higher,outcome,_TIFFVSetField,tif_dir.c,344,22,icmp,any
21,1,binary-state-null,use,7,3986070914,a1717809e0c6a826,exact,0x00000000,B2,true,ok,6,40,higher,outcome,_TIFFVGetField,tif_dir.c,1115,5,icmp,any
22,1,binary-state-null,use,7,2019419709,351457e094642c80,exact,0x00000000,B2,true,ok,6,41,higher,outcome,_TIFFVGetField,tif_dir.c,1116,53,icmp,any
23,1,binary-state-null,use,7,1815920006,c668bc31b1c55884,exact,0x00000000,B2,true,ok,6,42,higher,outcome,_TIFFVGetField,tif_dir.c,995,23,icmp,any
24,1,binary-state-null,use,7,380098173,c8eb8934bd2147ee,exact,0x00000000,B2,true,ok,6,43,higher,outcome,_TIFFVGetField,tif_dir.c,1009,23,icmp,any
25,1,binary-state-null,use,11,344097096,538359682538fb5c,exact,0x00000000,B2,true,ok,6,44,higher,c,_TIFFVSetField,tif_dir.c,313,13,sub,any
26,1,binary-state-null,use,11,2950298346,94481c37358ed4e3,exact,0x00000000,B2,true,ok,6,45,higher,c,_TIFFVSetField,tif_dir.c,313,13,sub,any
