target_id,suite,project,program,tc_category,expected,rnt_dir,metadata_csv,manifest_json,seed_dir,metadata_exists,manifest_exists,seed_dir_exists,metadata_rows,seed_files,unique_content_sha256,reached_rows,triggered_rows,non_rnt_rows,missing_seed_files,duplicate_content_rows,missing_required_field_rows,program_mismatch_rows,placeholder_native_DT_rows,placeholder_tc_root_state_rows,replay_statuses,metadata_statuses,manifest_metadata_status,native_DT_status,tc_root_state_status,status,blocking_reason
CVE_2019_6455,cve,recutils,benchmarks/cve_sources/uafbench/CVE-2019-6455/obj-formtrig-asan64/utils/rec2csv,compound-sequence-lifecycle,true,artifacts/rnt_corpus/CVE_2019_6455,artifacts/rnt_corpus/CVE_2019_6455/metadata.csv,artifacts/rnt_corpus/CVE_2019_6455/manifest.json,artifacts/rnt_corpus/CVE_2019_6455/seeds,true,true,true,2,2,2,2,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
GPAC_3398,cve,gpac,benchmarks/cve_build/gpac-3398-src/bin/gcc/MP4Box,numeric-margin,false,artifacts/rnt_corpus/GPAC_3398,artifacts/rnt_corpus/GPAC_3398/metadata.csv,artifacts/rnt_corpus/GPAC_3398/manifest.json,artifacts/rnt_corpus/GPAC_3398/seeds,true,true,true,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,excluded,"No strict RNT seed found for target_location=sgpd_del_entry: code audit shows the validated av1s path reaches sgpd_del_entry only at the sanitizer-triggering default deleter, while local non-trigger MP4 samples and one-byte PoC-neighbor searches did not hit sgpd_del_entry."
GPAC_3403,cve,gpac,benchmarks/cve_build/gpac-3403-src/bin/gcc/MP4Box,compound-sequence-lifecycle,true,artifacts/rnt_corpus/GPAC_3403,artifacts/rnt_corpus/GPAC_3403/metadata.csv,artifacts/rnt_corpus/GPAC_3403/manifest.json,artifacts/rnt_corpus/GPAC_3403/seeds,true,true,true,1,1,1,1,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
LIBARCHIVE_2925,cve,libarchive,benchmarks/cve_build/libarchive-a819-asan/libarchive_zip_empty_dir_replay,binary-state-null,true,artifacts/rnt_corpus/LIBARCHIVE_2925,artifacts/rnt_corpus/LIBARCHIVE_2925/metadata.csv,artifacts/rnt_corpus/LIBARCHIVE_2925/manifest.json,artifacts/rnt_corpus/LIBARCHIVE_2925/seeds,true,true,true,2,2,2,2,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
LIBARCHIVE_2935,cve,libarchive,benchmarks/cve_build/libarchive-a819-asan/libarchive_write_replay,numeric-margin,true,artifacts/rnt_corpus/LIBARCHIVE_2935,artifacts/rnt_corpus/LIBARCHIVE_2935/metadata.csv,artifacts/rnt_corpus/LIBARCHIVE_2935/manifest.json,artifacts/rnt_corpus/LIBARCHIVE_2935/seeds,true,true,true,1,1,1,1,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
LIBARCHIVE_2936,cve,libarchive,benchmarks/cve_build/libarchive-a819-asan/libarchive_write_replay,binary-state-null,true,artifacts/rnt_corpus/LIBARCHIVE_2936,artifacts/rnt_corpus/LIBARCHIVE_2936/metadata.csv,artifacts/rnt_corpus/LIBARCHIVE_2936/manifest.json,artifacts/rnt_corpus/LIBARCHIVE_2936/seeds,true,true,true,1,1,1,1,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
LIBARCHIVE_2937,cve,libarchive,benchmarks/cve_build/libarchive-a819-asan/libarchive_write_replay,numeric-margin,true,artifacts/rnt_corpus/LIBARCHIVE_2937,artifacts/rnt_corpus/LIBARCHIVE_2937/metadata.csv,artifacts/rnt_corpus/LIBARCHIVE_2937/manifest.json,artifacts/rnt_corpus/LIBARCHIVE_2937/seeds,true,true,true,1,1,1,1,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
LIBARCHIVE_2938,cve,libarchive,benchmarks/cve_build/libarchive-a819-asan/libarchive_write_replay,numeric-margin,true,artifacts/rnt_corpus/LIBARCHIVE_2938,artifacts/rnt_corpus/LIBARCHIVE_2938/metadata.csv,artifacts/rnt_corpus/LIBARCHIVE_2938/manifest.json,artifacts/rnt_corpus/LIBARCHIVE_2938/seeds,true,true,true,1,1,1,1,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
LIBCOAP_CVE_2023_35862,cve,libcoap,benchmarks/cve_build/libcoap-cve-2023-35862-asan/libcoap_oscore_conf_replay,equality/magic,true,artifacts/rnt_corpus/LIBCOAP_CVE_2023_35862,artifacts/rnt_corpus/LIBCOAP_CVE_2023_35862/metadata.csv,artifacts/rnt_corpus/LIBCOAP_CVE_2023_35862/manifest.json,artifacts/rnt_corpus/LIBCOAP_CVE_2023_35862/seeds,true,true,true,1,1,1,1,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
LIBXML2_1107,cve,libxml2,benchmarks/cve_build/libxml2-a7511af0-asan/libxml2_regexp_strdup_fail_replay,binary-state-null,true,artifacts/rnt_corpus/LIBXML2_1107,artifacts/rnt_corpus/LIBXML2_1107/metadata.csv,artifacts/rnt_corpus/LIBXML2_1107/manifest.json,artifacts/rnt_corpus/LIBXML2_1107/seeds,true,true,true,1,1,1,1,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
PCRE2_CVE_2025_58050,cve,pcre2,benchmarks/cve_build/pcre2-cve-2025-58050-asan/pcre2test,equality/magic,true,artifacts/rnt_corpus/PCRE2_CVE_2025_58050,artifacts/rnt_corpus/PCRE2_CVE_2025_58050/metadata.csv,artifacts/rnt_corpus/PCRE2_CVE_2025_58050/manifest.json,artifacts/rnt_corpus/PCRE2_CVE_2025_58050/seeds,true,true,true,1,1,1,1,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
TCPREPLAY_CVE_2020_24265,cve,tcpreplay,benchmarks/cve_build/tcpreplay-cve-2020-24265-release-src/src/tcpprep,equality/magic,true,artifacts/rnt_corpus/TCPREPLAY_CVE_2020_24265,artifacts/rnt_corpus/TCPREPLAY_CVE_2020_24265/metadata.csv,artifacts/rnt_corpus/TCPREPLAY_CVE_2020_24265/manifest.json,artifacts/rnt_corpus/TCPREPLAY_CVE_2020_24265/seeds,true,true,true,2,2,2,2,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
LUA001,magma,lua,lua,numeric-margin,true,artifacts/rnt_corpus/LUA001,artifacts/rnt_corpus/LUA001/metadata.csv,artifacts/rnt_corpus/LUA001/manifest.json,artifacts/rnt_corpus/LUA001/seeds,true,true,true,1,1,1,1,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
LUA002,magma,lua,lua,binary-state-null,true,artifacts/rnt_corpus/LUA002,artifacts/rnt_corpus/LUA002/metadata.csv,artifacts/rnt_corpus/LUA002/manifest.json,artifacts/rnt_corpus/LUA002/seeds,true,true,true,2,2,2,2,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
LUA003,magma,lua,lua,compound-sequence-lifecycle,true,artifacts/rnt_corpus/LUA003,artifacts/rnt_corpus/LUA003/metadata.csv,artifacts/rnt_corpus/LUA003/manifest.json,artifacts/rnt_corpus/LUA003/seeds,true,true,true,1,1,1,1,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
LUA004,magma,lua,lua,numeric-margin,false,artifacts/rnt_corpus/LUA004,artifacts/rnt_corpus/LUA004/metadata.csv,artifacts/rnt_corpus/LUA004/manifest.json,artifacts/rnt_corpus/LUA004/seeds,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,excluded,"No strict RNT seed is available under the current lua runner: source-guided line-hook seeds reach luaG_traceexec but also trigger LUA004, so no R=1,T=0 seed is admitted."
PDF001,magma,poppler,pdf_fuzzer,numeric-margin,true,artifacts/rnt_corpus/PDF001,artifacts/rnt_corpus/PDF001/metadata.csv,artifacts/rnt_corpus/PDF001/manifest.json,artifacts/rnt_corpus/PDF001/seeds,true,true,true,1,1,1,1,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
PDF002,magma,poppler,pdf_fuzzer,numeric-margin,true,artifacts/rnt_corpus/PDF002,artifacts/rnt_corpus/PDF002/metadata.csv,artifacts/rnt_corpus/PDF002/manifest.json,artifacts/rnt_corpus/PDF002/seeds,true,true,true,1,1,1,1,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
PDF003,magma,poppler,pdfimages,binary-state-null,true,artifacts/rnt_corpus/PDF003,artifacts/rnt_corpus/PDF003/metadata.csv,artifacts/rnt_corpus/PDF003/manifest.json,artifacts/rnt_corpus/PDF003/seeds,true,true,true,12,12,12,12,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
PDF004,magma,poppler,pdftoppm,numeric-margin,false,artifacts/rnt_corpus/PDF004,artifacts/rnt_corpus/PDF004/metadata.csv,artifacts/rnt_corpus/PDF004/manifest.json,artifacts/rnt_corpus/PDF004/seeds,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,excluded,"No strict RNT seed is available under pdftoppm: minimal page, vector path fill, and clipping-path candidates reached common Poppler canaries but did not produce PDF004_R in SplashXPathScanner::clipAALine."
PDF005,magma,poppler,pdf_fuzzer,numeric-margin,true,artifacts/rnt_corpus/PDF005,artifacts/rnt_corpus/PDF005/metadata.csv,artifacts/rnt_corpus/PDF005/manifest.json,artifacts/rnt_corpus/PDF005/seeds,true,true,true,1,1,1,1,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
PDF006,magma,poppler,pdftoppm,numeric-margin,true,artifacts/rnt_corpus/PDF006,artifacts/rnt_corpus/PDF006/metadata.csv,artifacts/rnt_corpus/PDF006/manifest.json,artifacts/rnt_corpus/PDF006/seeds,true,true,true,5,5,5,5,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
PDF007,magma,poppler,pdf_fuzzer,numeric-margin,true,artifacts/rnt_corpus/PDF007,artifacts/rnt_corpus/PDF007/metadata.csv,artifacts/rnt_corpus/PDF007/manifest.json,artifacts/rnt_corpus/PDF007/seeds,true,true,true,20,20,20,20,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
PDF008,magma,poppler,pdf_fuzzer,numeric-margin,true,artifacts/rnt_corpus/PDF008,artifacts/rnt_corpus/PDF008/metadata.csv,artifacts/rnt_corpus/PDF008/manifest.json,artifacts/rnt_corpus/PDF008/seeds,true,true,true,1,1,1,1,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
PDF009,magma,poppler,pdf_fuzzer,numeric-margin,true,artifacts/rnt_corpus/PDF009,artifacts/rnt_corpus/PDF009/metadata.csv,artifacts/rnt_corpus/PDF009/manifest.json,artifacts/rnt_corpus/PDF009/seeds,true,true,true,1,1,1,1,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
PDF010,magma,poppler,pdf_fuzzer,binary-state-null,true,artifacts/rnt_corpus/PDF010,artifacts/rnt_corpus/PDF010/metadata.csv,artifacts/rnt_corpus/PDF010/manifest.json,artifacts/rnt_corpus/PDF010/seeds,true,true,true,20,20,20,20,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
PDF011,magma,poppler,pdf_fuzzer,numeric-margin,true,artifacts/rnt_corpus/PDF011,artifacts/rnt_corpus/PDF011/metadata.csv,artifacts/rnt_corpus/PDF011/manifest.json,artifacts/rnt_corpus/PDF011/seeds,true,true,true,20,20,20,20,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
PDF012,magma,poppler,pdf_fuzzer,numeric-margin,true,artifacts/rnt_corpus/PDF012,artifacts/rnt_corpus/PDF012/metadata.csv,artifacts/rnt_corpus/PDF012/manifest.json,artifacts/rnt_corpus/PDF012/seeds,true,true,true,20,20,20,20,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
PDF013,magma,poppler,pdf_fuzzer,compound-sequence-lifecycle,false,artifacts/rnt_corpus/PDF013,artifacts/rnt_corpus/PDF013/metadata.csv,artifacts/rnt_corpus/PDF013/manifest.json,artifacts/rnt_corpus/PDF013/seeds,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,excluded,"No strict RNT seed is available under pdf_fuzzer's current workflow: PDF013 is logged in FileSpec::FileSpec, but pdf_fuzzer only loads pages, renders pages, and extracts text; it does not enumerate embedded-file name trees or construct FileSpec objects from them."
PDF014,magma,poppler,pdf_fuzzer,numeric-margin,true,artifacts/rnt_corpus/PDF014,artifacts/rnt_corpus/PDF014/metadata.csv,artifacts/rnt_corpus/PDF014/manifest.json,artifacts/rnt_corpus/PDF014/seeds,true,true,true,4,4,4,4,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
PDF015,magma,poppler,pdf_fuzzer,compound-sequence-lifecycle,false,artifacts/rnt_corpus/PDF015,artifacts/rnt_corpus/PDF015/metadata.csv,artifacts/rnt_corpus/PDF015/manifest.json,artifacts/rnt_corpus/PDF015/seeds,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,excluded,"No strict RNT seed is available under pdf_fuzzer's current workflow: PDF015 is logged in EmbFile::save, but pdf_fuzzer never saves embedded files to disk; it only renders pages and extracts text."
PDF016,magma,poppler,pdf_fuzzer,compound-sequence-lifecycle,true,artifacts/rnt_corpus/PDF016,artifacts/rnt_corpus/PDF016/metadata.csv,artifacts/rnt_corpus/PDF016/manifest.json,artifacts/rnt_corpus/PDF016/seeds,true,true,true,20,20,20,20,0,0,0,0,0,0,0,0,kept_rnt,formal_replay_verified_rnt,formal_replay_verified_rnt,computed,computed,formal_ready,
